City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
383,College,US,37.99,clear sky,64.86,-147.8,Pike's Waterfront Lodge
389,Havoysund,NO,32.0,light snow,71.0,24.66,Arctic View Glamping & Restaurant
397,Comodoro Rivadavia,AR,48.2,drizzle,-45.87,-67.5,Austral Hotel
400,Remontnoye,RU,44.6,scattered clouds,46.56,43.65,
402,Bakaly,RU,31.06,scattered clouds,55.18,53.8,
415,Saint-Andre-Les-Vergers,FR,50.0,clear sky,48.29,4.05,Le Royal
424,Gornopravdinsk,RU,31.48,broken clouds,60.05,69.9,
439,Grindavik,IS,41.0,broken clouds,63.84,-22.43,Northern Light Inn & Max's Restaurant
443,Verkhoyansk,RU,30.78,overcast clouds,67.54,133.38,
445,Fagersta,SE,44.01,broken clouds,60.0,15.79,Fagersta brukshotell
446,Bukachacha,RU,43.92,clear sky,52.98,116.92,
448,Maarianhamina,AX,37.4,clear sky,60.1,19.93,Park Alandia Hotel
453,Talas,TR,39.2,overcast clouds,38.69,35.55,Fimaj Residence
454,Narsaq,GL,50.0,overcast clouds,60.92,-46.05,Hotel Narsaq
465,Paamiut,GL,34.88,overcast clouds,61.99,-49.67,Yeet Hotel
468,Nemuro,JP,48.2,few clouds,43.32,145.57,Hotel Nemuro Kaiyoutei
472,Nome,US,39.2,clear sky,64.5,-165.41,Dredge 7 Inn
476,Haines Junction,CA,37.51,light snow,60.75,-137.51,Parkside Inn
477,Zilupe,LV,39.97,light rain,56.39,28.12,Zilupe kojas
482,Killybegs,IE,48.99,overcast clouds,54.63,-8.45,Tara Hotel
487,Shebunino,RU,42.8,scattered clouds,46.43,141.86,
490,Anshun,CN,49.64,overcast clouds,26.25,105.93,安顺麦吉风格酒店
499,Pinan,SE,42.8,clear sky,58.68,11.65,Ättnervatnet
500,Zakharovo,RU,39.99,light rain,54.37,39.28,
507,Timiryazevskiy,RU,48.0,overcast clouds,56.49,84.88,Forum
510,Chatham,GB,46.99,broken clouds,51.38,0.53,King Charles Hotel
513,Sosnovo-Ozerskoye,RU,39.38,clear sky,52.52,111.54,
514,Lakselv,NO,32.0,heavy snow,70.05,24.97,Lakselv Hotel
516,Rorvik,NO,40.86,broken clouds,64.86,11.24,Hagaheim Seafishing
520,Batagay,RU,30.88,overcast clouds,67.63,134.63,
521,Hvolsvollur,IS,35.01,light rain,63.75,-20.22,Aurora Lodge Hotel
526,Jumla,NP,44.08,clear sky,29.27,82.18,Hotel Sundar Rara Karnali
532,Elban,RU,39.4,broken clouds,50.1,136.51,
534,Raudeberg,NO,42.01,scattered clouds,61.99,5.14,Nordre Silda.
539,Disna,BY,43.52,light rain,55.57,28.2,
542,Requena,ES,48.0,broken clouds,39.49,-1.1,Hotel Avenida
545,Palmer,US,46.99,overcast clouds,42.16,-72.33,Wedgewood Motel
549,Leua,SK,39.2,broken clouds,48.22,18.61,Business Hotel ASTRUM Laus
552,Mugur-Aksy,RU,44.24,clear sky,50.35,90.5,
558,Sistranda,NO,42.8,broken clouds,63.73,8.83,Hotell Frøya
560,Turukhansk,RU,33.03,overcast clouds,65.82,87.98,"ООО ""Туруханская пушнина"""
567,Teya,RU,47.97,overcast clouds,60.38,92.63,
569,Vostochnyy,RU,42.01,scattered clouds,55.82,37.87,MarianHall
572,Yumen,CN,48.61,clear sky,40.28,97.2,
574,Roma,US,48.2,overcast clouds,43.21,-75.46,Wingate By Wyndham Rome
583,Udachnyy,RU,37.4,broken clouds,66.42,112.4,Gostinitsa Vilyuy
586,Sangar,RU,32.83,clear sky,63.92,127.47,
