City_ID,City,Country,Date,Lat,Lng,Max Temp,Weather,Humidity,Cloudiness,Wind Speed,Rain,Snow
53,Thompson,CA,2020-04-25 00:17:08,55.74,-97.86,39.2,scattered clouds,35,40,6.93,0.0,0.0
54,New Norfolk,AU,2020-04-25 00:12:55,-42.78,147.06,62.01,overcast clouds,73,100,1.01,0.0,0.0
55,Mahajanga,MG,2020-04-25 00:17:09,-15.72,46.32,77.0,few clouds,94,20,2.24,0.0,0.0
56,Aviles,ES,2020-04-25 00:17:09,43.55,-5.92,57.99,mist,93,90,3.36,0.0,0.0
57,Formosa Do Rio Preto,BR,2020-04-25 00:17:09,-11.05,-45.19,71.44,scattered clouds,81,30,3.91,0.0,0.0
58,Cidreira,BR,2020-04-25 00:14:12,-30.18,-50.21,69.62,broken clouds,87,70,15.82,0.0,0.0
59,Hermanus,ZA,2020-04-25 00:17:10,-34.42,19.23,61.0,few clouds,74,23,12.71,0.0,0.0
60,Prien,US,2020-04-25 00:17:10,30.18,-93.27,78.8,clear sky,69,1,10.29,0.0,0.0
61,Barrow,US,2020-04-25 00:17:10,71.29,-156.79,5.0,clear sky,77,1,14.99,0.0,0.0
62,Ribeira Grande,PT,2020-04-25 00:17:10,38.52,-28.7,62.17,light rain,89,100,12.06,0.3,0.0
63,Roald,NO,2020-04-25 00:17:11,62.58,6.13,42.01,few clouds,86,18,2.24,0.0,0.0
64,Isangel,VU,2020-04-25 00:17:11,-19.55,169.27,78.8,broken clouds,74,75,6.93,0.0,0.0
65,Avarua,CK,2020-04-25 00:17:13,-21.21,-159.78,82.4,broken clouds,74,79,9.17,0.0,0.0
66,Maputo,MZ,2020-04-25 00:17:14,-25.97,32.59,69.01,clear sky,88,0,4.7,0.0,0.0
67,Mokhsogollokh,RU,2020-04-25 00:17:14,61.47,128.92,35.1,broken clouds,79,73,7.45,0.0,0.0
68,Prince Rupert,CA,2020-04-25 00:17:14,54.32,-130.32,51.8,overcast clouds,69,90,10.29,0.0,0.0
69,Hamilton,US,2020-04-25 00:17:14,39.18,-84.53,64.99,few clouds,59,20,3.36,0.0,0.0
70,Coruripe,BR,2020-04-25 00:17:15,-10.13,-36.18,79.2,light rain,82,86,8.59,0.18,0.0
71,Soyaux,FR,2020-04-25 00:17:15,45.65,0.2,60.01,light rain,87,2,6.93,0.34,0.0
72,Vestmanna,FO,2020-04-25 00:17:16,62.16,-7.17,42.8,broken clouds,87,71,6.93,0.0,0.0
73,Guerrero Negro,MX,2020-04-25 00:17:16,27.98,-114.06,79.05,clear sky,34,3,15.17,0.0,0.0
74,Racale,IT,2020-04-25 00:17:16,39.96,18.09,48.2,clear sky,93,5,3.36,0.0,0.0
75,Manokwari,ID,2020-04-25 00:17:17,-0.87,134.08,84.65,scattered clouds,66,46,1.34,0.0,0.0
76,Alappuzha,IN,2020-04-25 00:17:17,9.49,76.33,80.13,light rain,85,100,4.09,0.14,0.0
77,Olinda,BR,2020-04-25 00:17:17,-8.01,-34.86,78.8,shower rain,88,75,9.62,0.0,0.0
78,Leiyang,CN,2020-04-25 00:17:18,26.4,112.86,61.52,overcast clouds,71,100,2.28,0.0,0.0
79,Sant Feliu De Guixols,ES,2020-04-25 00:17:19,41.78,3.03,57.99,scattered clouds,100,30,3.36,0.0,0.0
80,Vad,RU,2020-04-25 00:17:20,55.53,44.21,37.9,light rain,90,100,7.96,0.43,0.0
81,Laguna,US,2020-04-25 00:15:35,38.42,-121.42,91.4,clear sky,15,1,9.17,0.0,0.0
82,Ulladulla,AU,2020-04-25 00:17:21,-35.35,150.47,71.01,few clouds,59,11,11.41,0.0,0.0
83,Dikson,RU,2020-04-25 00:17:21,73.51,80.55,18.05,overcast clouds,97,97,14.85,0.0,0.0
84,East London,ZA,2020-04-25 00:17:21,-33.02,27.91,66.61,light rain,83,79,11.18,0.4,0.0
85,Bandiagara,ML,2020-04-25 00:17:21,14.35,-3.61,89.6,broken clouds,38,74,6.93,0.0,0.0
86,Lazarev,RU,2020-04-25 00:17:22,52.23,141.51,29.84,light snow,98,100,3.67,0.0,0.52
87,Ojinaga,MX,2020-04-25 00:17:22,29.57,-104.42,96.8,clear sky,8,1,12.75,0.0,0.0
88,Tilichiki,RU,2020-04-25 00:17:22,60.47,166.1,24.1,clear sky,94,5,6.69,0.0,0.0
89,Pangnirtung,CA,2020-04-25 00:17:22,66.15,-65.71,35.22,overcast clouds,82,100,9.95,0.0,0.0
90,Rio Grande,BR,2020-04-25 00:17:22,-32.03,-52.1,69.01,scattered clouds,77,47,9.17,0.0,0.0
91,Korla,CN,2020-04-25 00:17:23,41.76,86.15,61.59,scattered clouds,21,32,2.48,0.0,0.0
92,Kenora,CA,2020-04-25 00:17:23,49.82,-94.43,57.2,broken clouds,28,75,8.05,0.0,0.0
93,Santa Rosa,PH,2020-04-25 00:17:23,14.31,121.11,88.0,few clouds,66,20,5.82,0.0,0.0
94,Kavieng,PG,2020-04-25 00:17:23,-2.57,150.8,83.93,light rain,74,32,6.38,0.52,0.0
95,Kismayo,SO,2020-04-25 00:17:24,-0.36,42.55,82.15,moderate rain,76,100,10.94,5.22,0.0
96,Muisne,EC,2020-04-25 00:17:24,0.6,-80.03,80.6,scattered clouds,83,40,8.05,0.0,0.0
97,Vaini,TO,2020-04-25 00:17:24,-21.2,-175.2,78.8,shower rain,94,75,4.7,0.0,0.0
98,Lavrentiya,RU,2020-04-25 00:15:43,65.58,-171.0,28.81,few clouds,94,13,7.07,0.0,0.0
99,Marsa Matruh,EG,2020-04-25 00:17:24,31.35,27.25,59.0,few clouds,72,20,5.82,0.0,0.0
100,Cairns,AU,2020-04-25 00:14:08,-16.92,145.77,82.4,few clouds,58,20,18.34,0.0,0.0
101,Chernyshevskiy,RU,2020-04-25 00:17:25,63.01,112.47,33.35,broken clouds,80,69,5.44,0.0,0.0
102,Yate,GB,2020-04-25 00:17:25,51.54,-2.42,55.0,light rain,76,76,3.36,0.32,0.0
103,Skala,PL,2020-04-25 00:17:25,50.23,19.85,54.0,overcast clouds,54,100,6.93,0.0,0.0
104,Ola,RU,2020-04-25 00:17:25,59.58,151.28,32.02,few clouds,90,15,9.55,0.0,0.0
105,San Pedro,PH,2020-04-25 00:17:26,14.35,121.02,88.0,few clouds,66,20,5.82,0.0,0.0
106,Castro,BR,2020-04-25 00:17:26,-24.79,-50.01,58.73,clear sky,69,1,2.98,0.0,0.0
107,Peniche,PT,2020-04-25 00:17:26,39.36,-9.38,57.99,scattered clouds,82,50,7.0,0.0,0.0
108,Petropavlovsk-Kamchatskiy,RU,2020-04-25 00:17:26,53.05,158.65,41.0,shower rain,60,75,8.95,0.0,0.0
109,Karratha,AU,2020-04-25 00:17:26,-20.74,116.85,85.86,few clouds,57,18,2.84,0.0,0.0
110,Ahwa,IN,2020-04-25 00:17:27,20.75,73.68,70.38,clear sky,70,0,3.76,0.0,0.0
111,Penarth,GB,2020-04-25 00:17:27,51.44,-3.18,55.0,broken clouds,93,54,6.93,0.0,0.0
112,Khasan,RU,2020-04-25 00:17:27,42.43,130.64,39.25,light rain,89,98,9.04,2.82,0.0
113,Los Llanos De Aridane,ES,2020-04-25 00:17:28,28.66,-17.92,62.6,few clouds,67,18,3.36,0.0,0.0
114,Hilo,US,2020-04-25 00:17:28,19.73,-155.09,80.6,broken clouds,54,75,8.05,0.0,0.0
115,Fairbanks,US,2020-04-25 00:17:28,64.84,-147.72,37.99,clear sky,34,1,8.05,0.0,0.0
116,Clyde River,CA,2020-04-25 00:17:29,70.47,-68.59,12.2,broken clouds,85,75,13.87,0.0,0.0
117,Port Macquarie,AU,2020-04-25 00:13:22,-31.43,152.92,75.0,clear sky,63,0,1.74,0.0,0.0
118,Salinopolis,BR,2020-04-25 00:17:30,-0.61,-47.36,80.55,light rain,82,90,12.21,2.44,0.0
119,Hobyo,SO,2020-04-25 00:17:30,5.35,48.53,83.98,moderate rain,71,81,6.64,3.19,0.0
120,Severnoye,RU,2020-04-25 00:17:30,56.35,78.36,41.72,overcast clouds,84,100,7.85,0.0,0.0
121,Maningrida,AU,2020-04-25 00:17:31,-12.07,134.27,82.47,scattered clouds,68,45,11.25,0.0,0.0
122,Vestmannaeyjar,IS,2020-04-25 00:17:31,63.44,-20.27,43.2,light rain,82,97,9.01,0.18,0.0
123,Inta,RU,2020-04-25 00:17:31,66.03,60.17,17.55,broken clouds,91,82,10.13,0.0,0.0
124,Kampot,KH,2020-04-25 00:17:31,10.62,104.18,82.4,scattered clouds,78,40,10.29,0.0,0.0
125,Sur,OM,2020-04-25 00:17:31,22.57,59.53,83.05,broken clouds,54,51,5.28,0.0,0.0
126,Chuncheng,CN,2020-04-25 00:17:31,22.17,111.79,63.23,overcast clouds,76,100,3.27,0.0,0.0
127,Santa Isabel Do Rio Negro,BR,2020-04-25 00:17:32,-0.41,-65.02,76.1,light rain,94,100,1.74,0.15,0.0
128,Effingham,US,2020-04-25 00:17:32,32.37,-81.33,75.2,clear sky,57,1,5.82,0.0,0.0
129,Ascension,US,2020-04-25 00:17:32,30.22,-90.9,81.0,clear sky,61,0,4.74,0.0,0.0
130,Ixtapa,MX,2020-04-25 00:17:32,20.7,-105.2,77.0,scattered clouds,69,40,11.41,0.0,0.0
131,La Ronge,CA,2020-04-25 00:17:32,55.1,-105.28,46.4,broken clouds,86,75,8.05,0.0,0.0
132,Nargana,PA,2020-04-25 00:17:33,9.44,-78.59,80.91,light rain,82,89,6.91,0.15,0.0
133,Westport,US,2020-04-25 00:16:06,41.14,-73.36,48.99,light rain,70,90,6.93,0.0,0.0
134,Tabas,IR,2020-04-25 00:17:33,33.6,56.92,73.4,clear sky,33,0,4.7,0.0,0.0
135,San Mateo Del Mar,MX,2020-04-25 00:17:33,16.2,-95.0,84.38,clear sky,70,0,11.54,0.0,0.0
136,Dingle,PH,2020-04-25 00:13:19,11.0,122.67,82.89,light rain,76,63,13.73,0.33,0.0
137,Iquique,CL,2020-04-25 00:15:10,-20.22,-70.14,66.2,few clouds,72,23,16.11,0.0,0.0
138,Mount Gambier,AU,2020-04-25 00:17:34,-37.83,140.77,53.6,overcast clouds,93,90,10.29,0.0,0.0
139,Hualmay,PE,2020-04-25 00:17:34,-11.1,-77.61,69.85,few clouds,73,17,6.08,0.0,0.0
140,Atasu,KZ,2020-04-25 00:17:34,48.68,71.64,43.57,overcast clouds,67,100,11.72,0.0,0.0
141,Logan,US,2020-04-25 00:14:12,41.74,-111.83,60.8,overcast clouds,31,90,3.36,0.0,0.0
142,Bambous Virieux,MU,2020-04-25 00:17:36,-20.34,57.76,75.99,shower rain,100,75,10.16,0.0,0.0
143,Norman Wells,CA,2020-04-25 00:17:37,65.28,-126.83,14.0,broken clouds,51,75,17.22,0.0,0.0
144,Puerto Ayora,EC,2020-04-25 00:17:37,-0.74,-90.35,84.2,broken clouds,66,75,13.87,0.0,0.0
145,Ostrovnoy,RU,2020-04-25 00:17:37,68.05,39.51,27.66,light snow,97,100,15.97,0.0,0.89
146,Escanaba,US,2020-04-25 00:17:37,45.75,-87.06,48.99,clear sky,56,1,8.05,0.0,0.0
147,Sunnyside,US,2020-04-25 00:17:37,46.32,-120.01,68.0,overcast clouds,40,90,12.24,0.0,0.0
148,Morehead,US,2020-04-25 00:16:32,37.27,-87.18,69.8,clear sky,59,1,3.0,0.0,0.0
149,Erzin,TR,2020-04-25 00:17:38,36.96,36.2,57.99,light rain,79,99,3.56,0.19,0.0
150,Ust-Kalmanka,RU,2020-04-25 00:17:38,52.12,83.31,61.65,overcast clouds,29,95,10.54,0.0,0.0
151,Beringovskiy,RU,2020-04-25 00:17:38,63.05,179.32,23.16,overcast clouds,96,98,9.82,0.0,0.0
152,Aklavik,CA,2020-04-25 00:13:56,68.22,-135.01,8.6,clear sky,50,5,5.82,0.0,0.0
153,Gorontalo,ID,2020-04-25 00:16:24,0.54,123.06,82.76,scattered clouds,75,50,1.7,0.0,0.0
154,Namatanai,PG,2020-04-25 00:17:00,-3.67,152.43,84.0,light rain,74,55,8.46,0.12,0.0
155,Erenhot,CN,2020-04-25 00:17:39,43.65,111.98,43.0,scattered clouds,34,40,7.09,0.0,0.0
156,Hailar,CN,2020-04-25 00:13:41,49.2,119.7,42.15,broken clouds,47,78,13.73,0.0,0.0
157,Carnarvon,AU,2020-04-25 00:17:39,-24.87,113.63,73.2,overcast clouds,67,99,25.17,0.0,0.0
158,Seoul,KR,2020-04-25 00:15:35,37.57,126.98,59.0,clear sky,47,1,16.75,0.0,0.0
159,Oktyabrskiy,RU,2020-04-25 00:13:29,54.48,53.47,31.75,broken clouds,88,79,7.47,0.0,0.0
160,San Carlos De Bariloche,AR,2020-04-25 00:15:56,-41.15,-71.31,55.0,shower rain,71,75,2.24,0.0,0.0
161,Kapaa,US,2020-04-25 00:17:40,22.08,-159.32,80.6,broken clouds,74,75,16.11,0.0,0.0
162,Bonavista,CA,2020-04-25 00:17:40,48.65,-53.11,35.01,few clouds,77,16,8.01,0.0,0.0
163,Khatanga,RU,2020-04-25 00:16:24,71.97,102.5,33.03,light rain,98,99,2.86,0.52,0.0
164,Freeport,US,2020-04-25 00:12:41,40.66,-73.58,50.0,overcast clouds,81,90,8.05,0.0,0.0
165,Tiksi,RU,2020-04-25 00:17:41,71.69,128.87,22.71,few clouds,95,13,5.84,0.0,0.0
166,Tocopilla,CL,2020-04-25 00:16:05,-22.09,-70.2,70.74,scattered clouds,42,30,7.2,0.0,0.0
167,Lixourion,GR,2020-04-25 00:17:41,38.2,20.43,59.32,clear sky,77,1,14.2,0.0,0.0
168,Saskylakh,RU,2020-04-25 00:13:06,71.92,114.08,30.29,scattered clouds,96,49,17.22,0.0,0.0
169,Hithadhoo,MV,2020-04-25 00:17:42,-0.6,73.08,83.8,overcast clouds,76,95,18.07,0.0,0.0
170,Avera,US,2020-04-25 00:17:42,33.19,-82.53,71.6,scattered clouds,64,40,5.82,0.0,0.0
171,Obo,CF,2020-04-25 00:17:42,5.4,26.49,71.15,light rain,70,40,1.68,0.26,0.0
172,Altay,CN,2020-04-25 00:17:42,47.87,88.12,54.28,clear sky,23,0,9.15,0.0,0.0
173,Biysk,RU,2020-04-25 00:17:42,52.54,85.21,60.24,overcast clouds,31,97,4.25,0.0,0.0
174,Adrar,MR,2020-04-25 00:17:43,20.5,-10.07,81.01,broken clouds,17,60,11.3,0.0,0.0
175,Weinan,CN,2020-04-25 00:14:07,34.5,109.51,62.01,broken clouds,75,65,2.24,0.0,0.0
176,Bambanglipuro,ID,2020-04-25 00:17:43,-7.95,110.28,80.08,light rain,81,93,5.21,0.13,0.0
177,Porto Santo,PT,2020-04-25 00:17:43,33.07,-16.34,60.8,scattered clouds,67,40,10.29,0.0,0.0
178,Safford,US,2020-04-25 00:17:43,32.83,-109.71,91.4,clear sky,9,1,16.11,0.0,0.0
179,Jyvaskyla,FI,2020-04-25 00:17:44,62.24,25.72,28.0,clear sky,68,7,6.93,0.0,0.0
180,Chokurdakh,RU,2020-04-25 00:17:44,70.63,147.92,16.3,clear sky,95,7,1.57,0.0,0.0
181,Kaniama,CD,2020-04-25 00:17:44,-7.57,24.18,66.27,few clouds,69,15,2.62,0.0,0.0
182,Slave Lake,CA,2020-04-25 00:15:24,55.28,-114.77,46.4,clear sky,37,1,3.36,0.0,0.0
183,Providencia,MX,2020-04-25 00:17:44,28.72,-111.58,95.0,clear sky,18,0,8.01,0.0,0.0
184,Vardo,NO,2020-04-25 00:17:14,70.37,31.11,28.4,snow,92,75,29.97,0.0,0.0
185,Iqaluit,CA,2020-04-25 00:17:45,63.75,-68.51,32.0,light snow,89,90,12.75,0.0,0.0
186,Hobart,AU,2020-04-25 00:15:27,-42.88,147.33,62.6,broken clouds,55,75,4.7,0.0,0.0
187,Bom Jesus Da Lapa,BR,2020-04-25 00:17:45,-13.26,-43.42,73.4,scattered clouds,78,35,6.93,0.0,0.0
188,Lompoc,US,2020-04-25 00:14:11,34.64,-120.46,93.99,clear sky,35,1,13.87,0.0,0.0
189,Te Anau,NZ,2020-04-25 00:17:46,-45.42,167.72,52.72,light rain,70,80,10.33,0.36,0.0
190,Severo-Kurilsk,RU,2020-04-25 00:17:46,50.68,156.12,32.85,light snow,93,75,13.49,0.0,0.2
191,Puri,IN,2020-04-25 00:17:46,19.8,85.85,75.2,thunderstorm with light rain,94,90,13.87,0.0,0.0
192,Moorhead,US,2020-04-25 00:17:46,46.87,-96.77,66.2,clear sky,29,1,5.82,0.0,0.0
193,Alyangula,AU,2020-04-25 00:17:46,-13.85,136.42,82.4,scattered clouds,78,32,9.42,0.0,0.0
194,Esperance,AU,2020-04-25 00:17:46,-33.87,121.9,59.0,light rain,100,100,6.93,0.21,0.0
195,Ajdabiya,LY,2020-04-25 00:17:47,30.76,20.23,61.12,clear sky,72,0,8.3,0.0,0.0
196,Tanete,ID,2020-04-25 00:17:47,-3.94,119.78,79.61,light rain,84,98,4.5,0.13,0.0
197,Touros,BR,2020-04-25 00:13:25,-5.2,-35.46,78.8,scattered clouds,94,40,4.7,0.0,0.0
198,Sitka,US,2020-04-25 00:17:48,57.05,-135.33,46.4,overcast clouds,81,90,10.29,0.0,0.0
199,Konstanz,DE,2020-04-25 00:17:48,47.66,9.18,55.0,scattered clouds,81,47,3.36,0.0,0.0
200,Zulueta,ES,2020-04-25 00:17:49,42.75,-1.58,57.99,few clouds,87,20,1.12,0.0,0.0
201,Namibe,AO,2020-04-25 00:17:09,-15.2,12.15,74.55,clear sky,68,0,5.46,0.0,0.0
202,Mount Isa,AU,2020-04-25 00:17:49,-20.73,139.5,84.2,clear sky,32,0,13.87,0.0,0.0
203,Beloha,MG,2020-04-25 00:17:49,-25.17,45.05,69.04,clear sky,87,1,9.73,0.0,0.0
204,Dunedin,NZ,2020-04-25 00:17:48,-45.87,170.5,58.39,light rain,60,49,14.72,0.19,0.0
